name,type,lat,lon,formatted_address,website,opening_hours
Garlic Lover's Corner,restaurant,42.6821600,-73.6887140,n/a,n/a,"Mo-Fr 11:00-15:00, Mo-Sa 16:30-21:00; Sa 12:00-15:00"
I Love NY Pizza of Route 4,restaurant,42.6820075,-73.6887627,n/a,n/a,n/a
Domino's,fast_food,42.6611474,-73.6915968,n/a,https://pizza.dominos.com/new-york/rensselaer/449-north-greenbush-rd,Mo-Th 10:30-24:00; Fr-Sa 10:30-01:00; Su 10:30-24:00
Zenbu Chinese Restaurant,restaurant,42.6613570,-73.6915008,n/a,http://zenburensselaer.com/,n/a
Pastabilities,restaurant,43.0483095,-76.1553890,n/a,n/a,Mo-Fr 11:00-14:00; Su-Th 16:00-21:00; Fr-Sa 16:00-22:00
Bistro Elephant,restaurant,43.0476085,-76.1545380,n/a,n/a,Mo-Sa 17:00-23:30
Pedro's,restaurant,40.7025316,-73.9865653,n/a,https://pedrosbarbrooklynnyc.com/,Mo-Su 12:00-23:00
Hot Harry's,restaurant,42.5977109,-73.7119186,n/a,n/a,n/a
Johns Tex-Mex,restaurant,43.1475676,-77.6057015,n/a,https://www.johnstexmex.com/,n/a
Hometown Diner,restaurant,42.6462271,-73.6071894,n/a,n/a,n/a
Doby's Submarine,fast_food,42.6461854,-73.6070149,n/a,n/a,n/a
Lee Sun Chinese Food,restaurant,42.6460311,-73.6057329,n/a,n/a,n/a
Michael's Lounge,restaurant,42.6459918,-73.6054171,n/a,n/a,n/a
Canteen,fast_food,40.6805189,-73.9689812,n/a,n/a,Mo-Fr 07:00-19:00; Sa-Su 08:00-16:00
Trudy's Ice Cream,restaurant,40.8003773,-73.9618056,n/a,https://trudysicecream.com,Mo-Fr 12:00-21:00; Sa-Su 11:00-21:00
Angelina's,restaurant,40.5134027,-74.2513558,n/a,https://www.angelinasristorante.com/,n/a
Starbucks,cafe,40.8551469,-73.1910090,n/a,n/a,n/a
Pizza Hut,restaurant,41.5267802,-74.0342905,n/a,https://locations.pizzahut.com/ny/newburgh/75-n-plank-rd,n/a
TGI Fridays,restaurant,41.5038688,-74.0701747,n/a,https://locations.tgifridays.com/ny/newburgh/1251-rt-300.html,n/a
